word,rank,rank_a,cluster,type
better,13,21,21,l
willing,57,169,169,l
impulsive,100,272,272,d
shy,52,8,8,u
anti-social,31,96,96,d
strong,13,15,15,u
best,51,65,65,l
hard,4,3,3,d
weird,84,184,184,u
top,72,69,69,l
straight,109,134,134,u
adventurous,19,60,60,l
foreign,64,255,255,d
passionate,46,261,261,l
upset,107,92,92,d
Chinese,81,177,177,u
current,52,155,155,d
same,96,84,84,l
personal,19,54,54,u
sharp,92,252,252,l
willpower,50,154,154,d
vast,51,126,126,u
better,38,21,21,u
spontaneous,90,80,80,d
white,27,77,77,u
muscle,109,285,285,d
important,104,275,275,d
full,12,38,38,u
unassertive,42,140,140,d
mid-thigh,40,114,114,u
artistic,135,93,93,u
handy,40,111,111,d
old,10,28,28,u
creative,3,2,2,u
terrible,90,180,180,l
happy,89,30,30,d
taller,31,52,52,l
national,46,141,141,d
big,45,33,33,u
intelligent,122,16,16,u
competant,42,125,125,l
poor,124,266,266,u
modest,100,130,130,l
biracial,33,230,230,u
long,23,29,29,l
tongue,29,88,88,u
present,85,228,228,d
funny,16,13,13,u
eager,36,112,112,l
primary,68,193,193,d
asian,33,32,32,l
young,34,109,109,d
asian,18,32,32,u
obese,83,219,219,d
high,119,263,263,u
athletic,17,25,25,l
driven,101,273,273,d
nice,123,9,9,u
intense,60,173,173,d
hair,18,63,63,d
quantitative,107,231,231,l
most,102,17,17,d
much,23,41,41,d
Russian,101,214,214,u
organizational,91,250,250,l
music,80,26,26,d
donate,72,159,159,u
enthusiastic,104,122,122,l
long,98,29,29,u
patient,56,162,162,l
average,131,91,91,u
humble,106,243,243,d
lazy,73,10,10,u
Christian,95,258,258,l
last,80,68,68,u
facial,39,58,58,d
meticulous,65,187,187,l
timid,28,87,87,d
front,49,59,59,u
interested,27,55,55,l
critical,70,18,18,u
inventive,47,197,197,l
other,97,5,5,d
quick,77,35,35,u
happy,77,30,30,l
fast,90,70,70,u
difficult,39,62,62,l
horrible,53,157,157,d
large,44,34,34,l
esoteric,103,270,270,u
public,55,160,160,d
Catholic-oriented,37,108,108,u
afraid,94,152,152,l
paranoid,33,124,124,d
struggle,59,171,171,d
unpopular,114,127,127,u
burnt,50,94,94,u
certain,88,245,245,l
cautious,61,225,225,d
bible,79,100,100,u
love,88,164,164,u
muscular,89,248,248,l
weak,57,166,166,d
simple,89,191,191,u
sizable,79,223,223,l
long,75,29,29,d
masterful,74,165,165,u
ever-shifting,70,208,208,l
me-ness,85,185,185,u
stupid,41,281,281,d
english,127,178,178,u
overall,38,56,56,l
passive,74,206,206,d
thick,73,201,201,d
visual,105,116,116,u
compassionate,43,129,129,l
finish,99,104,104,d
friendlier,117,259,259,u
7th,65,146,146,u
fond,37,190,190,d
taller,29,52,52,d
happy,28,30,30,u
own,21,20,20,d
music,26,26,26,u
chronic,70,195,195,d
non-confrontational,54,97,97,d
sociable,59,174,174,l
stressful,54,151,151,l
ever-growing,67,196,196,d
unimportant,38,123,123,d
